"Year","Month","Date","GDP Quarterly"
"2013","3","Sun Mar 31 2013 02:00:00 GMT+0200 (Eastern European Standard Time)","-1.37651"
"2013","6","Mon Jul 01 2013 02:00:00 GMT+0300 (Eastern European Summer Time)","-1.9964"
"2013","9","Tue Oct 01 2013 02:00:00 GMT+0300 (Eastern European Summer Time)","1.338255"
"2013","12","Tue Dec 31 2013 02:00:00 GMT+0200 (Eastern European Standard Time)","2.186535"
"2014","3","Mon Mar 31 2014 02:00:00 GMT+0300 (Eastern European Summer Time)","4.957572"
"2014","6","Tue Jul 01 2014 02:00:00 GMT+0300 (Eastern European Summer Time)","2.750143"
"2014","9","Wed Oct 01 2014 02:00:00 GMT+0300 (Eastern European Summer Time)","4.758136"
"2014","12","Wed Dec 31 2014 02:00:00 GMT+0200 (Eastern European Standard Time)","4.048465"
"2015","3","Tue Mar 31 2015 02:00:00 GMT+0300 (Eastern European Summer Time)","3.652101"
"2015","6","Wed Jul 01 2015 02:00:00 GMT+0300 (Eastern European Summer Time)","2.624745"
"2015","9","Thu Oct 01 2015 02:00:00 GMT+0300 (Eastern European Summer Time)","3.245744"
"2015","12","Thu Dec 31 2015 02:00:00 GMT+0200 (Eastern European Standard Time)","3.171596"
"2016","3","Thu Mar 31 2016 02:00:00 GMT+0300 (Eastern European Summer Time)","2.495074"
"2016","6","Fri Jul 01 2016 02:00:00 GMT+0300 (Eastern European Summer Time)","4.085233"
"2016","9","Sat Oct 01 2016 02:00:00 GMT+0300 (Eastern European Summer Time)","2.356579"
"2016","12","Sat Dec 31 2016 02:00:00 GMT+0200 (Eastern European Standard Time)","2.631195"
"2017","3","Fri Mar 31 2017 02:00:00 GMT+0300 (Eastern European Summer Time)","6.797542"
"2017","6","Sat Jul 01 2017 02:00:00 GMT+0300 (Eastern European Summer Time)","7.310307"
"2017","9","Sun Oct 01 2017 02:00:00 GMT+0300 (Eastern European Summer Time)","9.768169"
"2017","12","Sun Dec 31 2017 02:00:00 GMT+0200 (Eastern European Standard Time)","8.347051"
"2018","3","Sat Mar 31 2018 02:00:00 GMT+0300 (Eastern European Summer Time)","5.696565"
"2018","6","Sun Jul 01 2018 02:00:00 GMT+0300 (Eastern European Summer Time)","7.105411"
"2018","9","Mon Oct 01 2018 02:00:00 GMT+0300 (Eastern European Summer Time)","5.907455"
"2018","12","Mon Dec 31 2018 02:00:00 GMT+0200 (Eastern European Standard Time)","5.839872"
"2019","3","Sun Mar 31 2019 02:00:00 GMT+0200 (Eastern European Standard Time)","4.446616"
"2019","6","Mon Jul 01 2019 02:00:00 GMT+0300 (Eastern European Summer Time)","3.890764"
"2019","9","Tue Oct 01 2019 02:00:00 GMT+0300 (Eastern European Summer Time)","3.180566"
"2019","12","Tue Dec 31 2019 02:00:00 GMT+0200 (Eastern European Standard Time)","4.295282"
"2020","3","Tue Mar 31 2020 02:00:00 GMT+0300 (Eastern European Summer Time)","2.359097"
"2020","6","Wed Jul 01 2020 02:00:00 GMT+0300 (Eastern European Summer Time)","-9.97284"
"2020","9","Thu Oct 01 2020 02:00:00 GMT+0300 (Eastern European Summer Time)","-5.03041"
"2020","12","Thu Dec 31 2020 02:00:00 GMT+0200 (Eastern European Standard Time)","-1.38252"
"2021","3","Wed Mar 31 2021 02:00:00 GMT+0300 (Eastern European Summer Time)","0.048045"
"2021","6","Thu Jul 01 2021 02:00:00 GMT+0300 (Eastern European Summer Time)","14.71864"
"2021","9","Fri Oct 01 2021 02:00:00 GMT+0300 (Eastern European Summer Time)","6.057458"
"2021","12","Fri Dec 31 2021 02:00:00 GMT+0200 (Eastern European Standard Time)","2.405129"
"2022","3","Thu Mar 31 2022 02:00:00 GMT+0300 (Eastern European Summer Time)","5.517302"
"2022","6","Fri Jul 01 2022 02:00:00 GMT+0300 (Eastern European Summer Time)","4.32888"
"2022","9","Sat Oct 01 2022 02:00:00 GMT+0300 (Eastern European Summer Time)","2.957829"
"2022","12","Sat Dec 31 2022 02:00:00 GMT+0200 (Eastern European Standard Time)","3.606889"
"2023","3","Fri Mar 31 2023 02:00:00 GMT+0300 (Eastern European Summer Time)","2.663217"
"2023","6","Sat Jul 01 2023 02:00:00 GMT+0300 (Eastern European Summer Time)","1.243184"
"2023","9","Sun Oct 01 2023 02:00:00 GMT+0300 (Eastern European Summer Time)","2.275939"
"2023","12","Sun Dec 31 2023 02:00:00 GMT+0200 (Eastern European Standard Time)","3.268144"
"2024","3","Sun Mar 31 2024 02:00:00 GMT+0200 (Eastern European Standard Time)","0.480219"
"2024","6","Mon Jul 01 2024 02:00:00 GMT+0300 (Eastern European Summer Time)","0.919132"
"2024","9","Tue Oct 01 2024 02:00:00 GMT+0300 (Eastern European Summer Time)","1.210951"
"2024","12","Tue Dec 31 2024 02:00:00 GMT+0200 (Eastern European Standard Time)","0.739745"
