 Țara,Country,Orszag,Year,Value
Ungaria,Hungary,Magyarország,2014,881
Ungaria,Hungary,Magyarország,2015,950
Ungaria,Hungary,Magyarország,2016,975
Ungaria,Hungary,Magyarország,2017,959
Ungaria,Hungary,Magyarország,2018,1222
Ungaria,Hungary,Magyarország,2019,1611
Ungaria,Hungary,Magyarország,2020,2221
Ungaria,Hungary,Magyarország,2021,2326
Ungaria,Hungary,Magyarország,2022,2626
Ungaria,Hungary,Magyarország,2023,3167
Marea Britanie,United Kingdom,Egyesült Királyság,2013,1245
Marea Britanie,United Kingdom,Egyesült Királyság,2014,1501
Marea Britanie,United Kingdom,Egyesült Királyság,2015,1254
Marea Britanie,United Kingdom,Egyesült Királyság,2016,1701
Marea Britanie,United Kingdom,Egyesült Királyság,2017,1452
Marea Britanie,United Kingdom,Egyesült Királyság,2018,1713
Marea Britanie,United Kingdom,Egyesült Királyság,2019,2853
Marea Britanie,United Kingdom,Egyesült Királyság,2020,2755
Marea Britanie,United Kingdom,Egyesült Királyság,2021,3040
Marea Britanie,United Kingdom,Egyesült Királyság,2022,2857
Marea Britanie,United Kingdom,Egyesült Királyság,2023,3124
Spania,Spain,Spanyolország,2013,1178
Spania,Spain,Spanyolország,2014,1575
Spania,Spain,Spanyolország,2015,1467
Spania,Spain,Spanyolország,2016,1740
Spania,Spain,Spanyolország,2017,559
Spania,Spain,Spanyolország,2018,1634
Spania,Spain,Spanyolország,2019,1425
Spania,Spain,Spanyolország,2020,1756
Spania,Spain,Spanyolország,2021,1823
Spania,Spain,Spanyolország,2022,1917
Spania,Spain,Spanyolország,2023,2124
Polonia,Poland,Lengyelország,2013,248
Polonia,Poland,Lengyelország,2014,312
Polonia,Poland,Lengyelország,2015,458
Polonia,Poland,Lengyelország,2016,516
Polonia,Poland,Lengyelország,2017,692
Polonia,Poland,Lengyelország,2018,786
Polonia,Poland,Lengyelország,2019,926
Polonia,Poland,Lengyelország,2020,933
Polonia,Poland,Lengyelország,2021,1006
Polonia,Poland,Lengyelország,2022,1066
Polonia,Poland,Lengyelország,2023,1546
Malta,Malta,Málta,2013,59
Malta,Malta,Málta,2014,80
Malta,Malta,Málta,2015,117
Malta,Malta,Málta,2016,136
Malta,Malta,Málta,2017,107
Malta,Malta,Málta,2018,145
Malta,Malta,Málta,2019,177
Malta,Malta,Málta,2020,224
Malta,Malta,Málta,2021,990
Malta,Malta,Málta,2022,1221
Malta,Malta,Málta,2023,1169
Turcia,Turkey,Törökország,2013,368
Turcia,Turkey,Törökország,2014,581
Turcia,Turkey,Törökország,2015,333
Turcia,Turkey,Törökország,2016,455
Turcia,Turkey,Törökország,2017,519
Turcia,Turkey,Törökország,2018,577
Turcia,Turkey,Törökország,2019,522
Turcia,Turkey,Törökország,2020,1029
Turcia,Turkey,Törökország,2021,875
Turcia,Turkey,Törökország,2022,871
Turcia,Turkey,Törökország,2023,1056
Cehia,Czech Republic,Csehország,2013,1072
Cehia,Czech Republic,Csehország,2014,852
Cehia,Czech Republic,Csehország,2015,670
Cehia,Czech Republic,Csehország,2016,1196
Cehia,Czech Republic,Csehország,2017,1431
Cehia,Czech Republic,Csehország,2018,1638
Cehia,Czech Republic,Csehország,2019,2035
Cehia,Czech Republic,Csehország,2020,1799
Cehia,Czech Republic,Csehország,2021,972
Cehia,Czech Republic,Csehország,2022,962
Cehia,Czech Republic,Csehország,2023,914
Danemarca,Denmark,Dánia,2015,448
Danemarca,Denmark,Dánia,2016,459
Danemarca,Denmark,Dánia,2017,581
Danemarca,Denmark,Dánia,2018,731
Danemarca,Denmark,Dánia,2019,641
Danemarca,Denmark,Dánia,2020,680
Danemarca,Denmark,Dánia,2021,635
Danemarca,Denmark,Dánia,2022,752
Danemarca,Denmark,Dánia,2023,912
Suedia,Sweden,Svédország,2013,479
Suedia,Sweden,Svédország,2014,644
Suedia,Sweden,Svédország,2016,534
Suedia,Sweden,Svédország,2017,533
Suedia,Sweden,Svédország,2018,626
Suedia,Sweden,Svédország,2019,683
Suedia,Sweden,Svédország,2020,810
Suedia,Sweden,Svédország,2021,828
Suedia,Sweden,Svédország,2022,888
Suedia,Sweden,Svédország,2023,867
Statele Unite ale Americii,United States of America,Amerikai Egyesült Államok,2013,1079
Statele Unite ale Americii,United States of America,Amerikai Egyesült Államok,2014,1142
Statele Unite ale Americii,United States of America,Amerikai Egyesült Államok,2023,784
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2013,38
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2014,49
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2015,60
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2016,31
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2017,23
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2018,262
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2019,176
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2020,145
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2021,344
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2022,469
Emiratele Arabe Unite,United Arab Emirates,Egyesült Arab Emírségek,2023,668
Bulgaria,Bulgaria,Bulgária,2013,52
Bulgaria,Bulgaria,Bulgária,2016,159
Bulgaria,Bulgaria,Bulgária,2017,174
Bulgaria,Bulgaria,Bulgária,2018,284
Bulgaria,Bulgaria,Bulgária,2019,344
Bulgaria,Bulgaria,Bulgária,2020,417
Bulgaria,Bulgaria,Bulgária,2021,417
Bulgaria,Bulgaria,Bulgária,2022,400
Bulgaria,Bulgaria,Bulgária,2023,621
Japonia,Japan,Japán,2013,211
Japonia,Japan,Japán,2014,239
Japonia,Japan,Japán,2015,250
Japonia,Japan,Japán,2016,285
Japonia,Japan,Japán,2017,315
Japonia,Japan,Japán,2018,423
Japonia,Japan,Japán,2019,422
Japonia,Japan,Japán,2020,548
Japonia,Japan,Japán,2021,601
Japonia,Japan,Japán,2022,592
Japonia,Japan,Japán,2023,555
Israel,Israel,Izrael,2013,172
Israel,Israel,Izrael,2014,100
Israel,Israel,Izrael,2015,75
Israel,Israel,Izrael,2016,159
Israel,Israel,Izrael,2017,224
Israel,Israel,Izrael,2018,313
Israel,Israel,Izrael,2019,331
Israel,Israel,Izrael,2020,338
Israel,Israel,Izrael,2021,491
Israel,Israel,Izrael,2022,533
Israel,Israel,Izrael,2023,526
Norvegia,Norway,Norvégia,2013,249
Norvegia,Norway,Norvégia,2014,278
Norvegia,Norway,Norvégia,2015,175
Norvegia,Norway,Norvégia,2016,141
Norvegia,Norway,Norvégia,2017,339
Norvegia,Norway,Norvégia,2018,219
Norvegia,Norway,Norvégia,2019,361
Norvegia,Norway,Norvégia,2020,427
Norvegia,Norway,Norvégia,2021,327
Norvegia,Norway,Norvégia,2022,428
Norvegia,Norway,Norvégia,2023,451
Irlanda,Ireland,Írország,2013,331
Irlanda,Ireland,Írország,2014,349
Irlanda,Ireland,Írország,2015,460
Irlanda,Ireland,Írország,2016,368
Irlanda,Ireland,Írország,2017,288
Irlanda,Ireland,Írország,2018,401
Irlanda,Ireland,Írország,2019,678
Irlanda,Ireland,Írország,2020,671
Irlanda,Ireland,Írország,2021,721
Irlanda,Ireland,Írország,2022,661
Irlanda,Ireland,Írország,2023,361
Portugalia,Portugal,Portugália,2013,244
Portugalia,Portugal,Portugália,2014,152
Portugalia,Portugal,Portugália,2015,266
Portugalia,Portugal,Portugália,2016,265
Portugalia,Portugal,Portugália,2017,268
Portugalia,Portugal,Portugália,2018,263
Portugalia,Portugal,Portugália,2019,242
Portugalia,Portugal,Portugália,2020,257
Portugalia,Portugal,Portugália,2021,319
Portugalia,Portugal,Portugália,2022,340
Portugalia,Portugal,Portugália,2023,332
Liban,Lebanon,Libanon,2013,188
Liban,Lebanon,Libanon,2014,176
Liban,Lebanon,Libanon,2015,159
Liban,Lebanon,Libanon,2016,216
Liban,Lebanon,Libanon,2017,271
Liban,Lebanon,Libanon,2018,55
Liban,Lebanon,Libanon,2019,225
Liban,Lebanon,Libanon,2020,275
Liban,Lebanon,Libanon,2021,286
Liban,Lebanon,Libanon,2022,268
Liban,Lebanon,Libanon,2023,323
China,China,Kína,2013,125
China,China,Kína,2014,90
China,China,Kína,2015,223
China,China,Kína,2016,56
China,China,Kína,2017,75
China,China,Kína,2018,37
China,China,Kína,2019,91
China,China,Kína,2020,227
China,China,Kína,2021,248
China,China,Kína,2022,307
China,China,Kína,2023,320
Finlanda,Finland,Finnország,2013,115
Finlanda,Finland,Finnország,2014,104
Finlanda,Finland,Finnország,2015,104
Finlanda,Finland,Finnország,2016,79
Finlanda,Finland,Finnország,2017,69
Finlanda,Finland,Finnország,2018,86
Finlanda,Finland,Finnország,2019,88
Finlanda,Finland,Finnország,2020,85
Finlanda,Finland,Finnország,2021,92
Finlanda,Finland,Finnország,2022,105
Finlanda,Finland,Finnország,2023,218
Liechtenstein,Liechtenstein,Liechtenstein,2016,14
Liechtenstein,Liechtenstein,Liechtenstein,2019,41
Liechtenstein,Liechtenstein,Liechtenstein,2020,61
Liechtenstein,Liechtenstein,Liechtenstein,2021,71
Liechtenstein,Liechtenstein,Liechtenstein,2023,162
Serbia,Serbia,Szerbia,2021,155
Serbia,Serbia,Szerbia,2023,123
Moldova,Moldova,Moldova,2013,18
Moldova,Moldova,Moldova,2014,18
Moldova,Moldova,Moldova,2015,33
Moldova,Moldova,Moldova,2016,22
Moldova,Moldova,Moldova,2017,36
Moldova,Moldova,Moldova,2018,38
Moldova,Moldova,Moldova,2019,33
Moldova,Moldova,Moldova,2020,26
Moldova,Moldova,Moldova,2021,68
Moldova,Moldova,Moldova,2022,56
Moldova,Moldova,Moldova,2023,102
Alte tări,Other countries,Más országok,2013,1867
Alte tări,Other countries,Más országok,2014,1860
Alte tări,Other countries,Más országok,2015,1961
Alte tări,Other countries,Más országok,2016,1551
Alte tări,Other countries,Más országok,2017,1782
Alte tări,Other countries,Más országok,2018,1236
Alte tări,Other countries,Más országok,2019,1403
Alte tări,Other countries,Más országok,2020,1393
Alte tări,Other countries,Más országok,2021,1058
Alte tări,Other countries,Más országok,2022,2072
Alte tări,Other countries,Más országok,2023,1765
