County,Year,FDI
Jude?ul,,2016
Jude?ul,,2017
Jude?ul,,2018
Jude?ul,,2019
Jude?ul,,2020
Jude?ul,,2021
Jude?ul,,2022
Jude?ul,,2023
Jude?ul,,
Jude?ul,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Alba,,886
Alba,,1192
Alba,,963
Alba,,1103
Alba,,828
Alba,,828
Alba,,1065
Alba,,1024
Alba,,1270
Alba,,1327
Alba,,1375
Alba,,
Alba,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Arge?,,1450
Arge?,,582
Arge?,,791
Arge?,,1037
Arge?,,1117
Arge?,,1233
Arge?,,1425
Arge?,,1521
Arge?,,1606
Arge?,,1743
Arge?,,1850
Arge?,,
Arge?,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Arad,,760
Arad,,854
Arad,,959
Arad,,1079
Arad,,1216
Arad,,1011
Arad,,914
Arad,,1103
Arad,,1498
Arad,,1362
Arad,,1582
Arad,,
Arad,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Bac?u,,165
Bac?u,,165
Bac?u,,193
Bac?u,,143
Bac?u,,144
Bac?u,,458
Bac?u,,356
Bac?u,,329
Bac?u,,
Bac?u,,
Bac?u,,1257
Bac?u,,
Bac?u,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Bihor,,526
Bihor,,584
Bihor,,613
Bihor,,656
Bihor,,667
Bihor,,700
Bihor,,876
Bihor,,1023
Bihor,,1014
Bihor,,1082
Bihor,,1293
Bihor,,
Bihor,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Bistri?a-N?s?ud,,110
Bistri?a-N?s?ud,,120
Bistri?a-N?s?ud,,149
Bistri?a-N?s?ud,,188
Bistri?a-N?s?ud,,136
Bistri?a-N?s?ud,,116
Bistri?a-N?s?ud,,138
Bistri?a-N?s?ud,,123
Bistri?a-N?s?ud,,173
Bistri?a-N?s?ud,,225
Bistri?a-N?s?ud,,213
Bistri?a-N?s?ud,,
Bistri?a-N?s?ud,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Br?ila,,136
Br?ila,,136
Br?ila,,80
Br?ila,,90
Br?ila,,112
Br?ila,,131
Br?ila,,170
Br?ila,,199
Br?ila,,214
Br?ila,,250
Br?ila,,264
Br?ila,,
Br?ila,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Boto?ani,,84
Boto?ani,,70
Boto?ani,,78
Boto?ani,,80
Boto?ani,,77
Boto?ani,,76
Boto?ani,,70
Boto?ani,,74
Boto?ani,,80
Boto?ani,,124
Boto?ani,,142
Boto?ani,,
Boto?ani,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Bra?ov,,1827
Bra?ov,,1880
Bra?ov,,2128
Bra?ov,,2159
Bra?ov,,2204
Bra?ov,,2597
Bra?ov,,2581
Bra?ov,,2668
Bra?ov,,2621
Bra?ov,,2825
Bra?ov,,3124
Bra?ov,,
Bra?ov,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Bucure?ti,,32105
Bucure?ti,,32464
Bucure?ti,,33023
Bucure?ti,,36191
Bucure?ti,,38699
Bucure?ti,,41273
Bucure?ti,,45961
Bucure?ti,,48713
Bucure?ti,,54326
Bucure?ti,,59145
Bucure?ti,,64657
Bucure?ti,,
Bucure?ti,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Buz?u,,320
Buz?u,,540
Buz?u,,431
Buz?u,,500
Buz?u,,399
Buz?u,,422
Buz?u,,436
Buz?u,,451
Buz?u,,557
Buz?u,,623
Buz?u,,569
Buz?u,,
Buz?u,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Cluj,,1118
Cluj,,1431
Cluj,,1677
Cluj,,1713
Cluj,,1934
Cluj,,1939
Cluj,,2059
Cluj,,2101
Cluj,,2326
Cluj,,2894
Cluj,,2906
Cluj,,
Cluj,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
C?l?ra?i,,465
C?l?ra?i,,463
C?l?ra?i,,429
C?l?ra?i,,334
C?l?ra?i,,353
C?l?ra?i,,353
C?l?ra?i,,364
C?l?ra?i,,299
C?l?ra?i,,329
C?l?ra?i,,417
C?l?ra?i,,554
C?l?ra?i,,
C?l?ra?i,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Cara?-Severin,,110
Cara?-Severin,,207
Cara?-Severin,,214
Cara?-Severin,,331
Cara?-Severin,,287
Cara?-Severin,,162
Cara?-Severin,,196
Cara?-Severin,,216
Cara?-Severin,,242
Cara?-Severin,,278
Cara?-Severin,,324
Cara?-Severin,,
Cara?-Severin,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Constan?a,,1157
Constan?a,,1424
Constan?a,,1559
Constan?a,,2019
Constan?a,,2163
Constan?a,,1852
Constan?a,,2033
Constan?a,,1804
Constan?a,,2038
Constan?a,,1973
Constan?a,,2377
Constan?a,,
Constan?a,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Covasna,,90
Covasna,,89
Covasna,,129
Covasna,,132
Covasna,,140
Covasna,,131
Covasna,,224
Covasna,,283
Covasna,,396
Covasna,,391
Covasna,,429
Covasna,,
Covasna,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
D?mbovi?a,,257
D?mbovi?a,,277
D?mbovi?a,,350
D?mbovi?a,,352
D?mbovi?a,,396
D?mbovi?a,,334
D?mbovi?a,,393
D?mbovi?a,,442
D?mbovi?a,,426
D?mbovi?a,,555
D?mbovi?a,,508
D?mbovi?a,,
D?mbovi?a,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Dolj,,1083
Dolj,,1068
Dolj,,1251
Dolj,,1135
Dolj,,1198
Dolj,,1267
Dolj,,1335
Dolj,,1334
Dolj,,717
Dolj,,788
Dolj,,941
Dolj,,
Dolj,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Gorj,,12
Gorj,,14
Gorj,,13
Gorj,,8
Gorj,,4
Gorj,,3
Gorj,,3
Gorj,,5
Gorj,,7
Gorj,,7
Gorj,,8
Gorj,,
Gorj,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Gala?i,,546
Gala?i,,606
Gala?i,,513
Gala?i,,651
Gala?i,,603
Gala?i,,844
Gala?i,,838
Gala?i,,708
Gala?i,,744
Gala?i,,531
Gala?i,,484
Gala?i,,
Gala?i,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Giurgiu,,212
Giurgiu,,132
Giurgiu,,125
Giurgiu,,129
Giurgiu,,169
Giurgiu,,226
Giurgiu,,264
Giurgiu,,363
Giurgiu,,419
Giurgiu,,437
Giurgiu,,399
Giurgiu,,
Giurgiu,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Hunedoara,,313
Hunedoara,,379
Hunedoara,,370
Hunedoara,,379
Hunedoara,,411
Hunedoara,,393
Hunedoara,,411
Hunedoara,,456
Hunedoara,,499
Hunedoara,,493
Hunedoara,,560
Hunedoara,,
Hunedoara,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Harghita,,113
Harghita,,127
Harghita,,130
Harghita,,106
Harghita,,105
Harghita,,111
Harghita,,123
Harghita,,223
Harghita,,253
Harghita,,294
Harghita,,464
Harghita,,
Harghita,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Ilfov,,3035
Ilfov,,3153
Ilfov,,3332
Ilfov,,3672
Ilfov,,4165
Ilfov,,4451
Ilfov,,5188
Ilfov,,5876
Ilfov,,6592
Ilfov,,7469
Ilfov,,9495
Ilfov,,
Ilfov,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Ialomi?a,,197
Ialomi?a,,173
Ialomi?a,,212
Ialomi?a,,306
Ialomi?a,,293
Ialomi?a,,301
Ialomi?a,,315
Ialomi?a,,333
Ialomi?a,,357
Ialomi?a,,499
Ialomi?a,,431
Ialomi?a,,
Ialomi?a,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Ia?i,,647
Ia?i,,516
Ia?i,,448
Ia?i,,462
Ia?i,,469
Ia?i,,460
Ia?i,,454
Ia?i,,515
Ia?i,,543
Ia?i,,590
Ia?i,,722
Ia?i,,
Ia?i,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Mehedin?i,,91
Mehedin?i,,106
Mehedin?i,,15
Mehedin?i,,16
Mehedin?i,,5
Mehedin?i,,16
Mehedin?i,,19
Mehedin?i,,14
Mehedin?i,,16
Mehedin?i,,20
Mehedin?i,,50
Mehedin?i,,
Mehedin?i,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Maramure?,,34
Maramure?,,176
Maramure?,,218
Maramure?,,442
Maramure?,,476
Maramure?,,637
Maramure?,,700
Maramure?,,710
Maramure?,,824
Maramure?,,929
Maramure?,,971
Maramure?,,
Maramure?,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Mure?,,1499
Mure?,,1599
Mure?,,1511
Mure?,,1757
Mure?,,1620
Mure?,,1674
Mure?,,1766
Mure?,,1884
Mure?,,1991
Mure?,,2151
Mure?,,2133
Mure?,,
Mure?,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Neam?,,146
Neam?,,183
Neam?,,206
Neam?,,192
Neam?,,197
Neam?,,228
Neam?,,191
Neam?,,193
Neam?,,225
Neam?,,228
Neam?,,217
Neam?,,
Neam?,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Olt,,615
Olt,,668
Olt,,707
Olt,,674
Olt,,973
Olt,,942
Olt,,969
Olt,,904
Olt,,973
Olt,,969
Olt,,1045
Olt,,
Olt,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Prahova,,2008
Prahova,,2062
Prahova,,2060
Prahova,,2171
Prahova,,2251
Prahova,,2481
Prahova,,2607
Prahova,,2579
Prahova,,3029
Prahova,,3293
Prahova,,3372
Prahova,,
Prahova,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Sibiu,,622
Sibiu,,882
Sibiu,,803
Sibiu,,907
Sibiu,,1310
Sibiu,,1476
Sibiu,,1560
Sibiu,,1820
Sibiu,,1887
Sibiu,,2018
Sibiu,,2063
Sibiu,,
Sibiu,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
S?laj,,403
S?laj,,478
S?laj,,458
S?laj,,471
S?laj,,457
S?laj,,406
S?laj,,421
S?laj,,451
S?laj,,422
S?laj,,495
S?laj,,
S?laj,,
S?laj,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Satu Mare,,236
Satu Mare,,284
Satu Mare,,350
Satu Mare,,391
Satu Mare,,401
Satu Mare,,502
Satu Mare,,553
Satu Mare,,570
Satu Mare,,604
Satu Mare,,768
Satu Mare,,829
Satu Mare,,
Satu Mare,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Suceava,,457
Suceava,,439
Suceava,,498
Suceava,,459
Suceava,,453
Suceava,,447
Suceava,,445
Suceava,,420
Suceava,,435
Suceava,,521
Suceava,,558
Suceava,,
Suceava,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Tulcea,,283
Tulcea,,282
Tulcea,,198
Tulcea,,138
Tulcea,,322
Tulcea,,168
Tulcea,,249
Tulcea,,295
Tulcea,,
Tulcea,,
Tulcea,,
Tulcea,,
Tulcea,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Timi?,,2976
Timi?,,3018
Timi?,,3053
Timi?,,3605
Timi?,,3998
Timi?,,4359
Timi?,,4386
Timi?,,4579
Timi?,,4788
Timi?,,5240
Timi?,,5871
Timi?,,
Timi?,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Teleorman,,95
Teleorman,,101
Teleorman,,108
Teleorman,,99
Teleorman,,79
Teleorman,,87
Teleorman,,93
Teleorman,,117
Teleorman,,153
Teleorman,,158
Teleorman,,131
Teleorman,,
Teleorman,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
V?lcea,,88
V?lcea,,133
V?lcea,,151
V?lcea,,175
V?lcea,,182
V?lcea,,194
V?lcea,,191
V?lcea,,183
V?lcea,,188
V?lcea,,189
V?lcea,,214
V?lcea,,
V?lcea,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Vrancea,,81
Vrancea,,87
Vrancea,,86
Vrancea,,91
Vrancea,,117
Vrancea,,121
Vrancea,,120
Vrancea,,120
Vrancea,,114
Vrancea,,119
Vrancea,,124
Vrancea,,
Vrancea,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
Vaslui,,85
Vaslui,,78
Vaslui,,45
Vaslui,,34
Vaslui,,43
Vaslui,,92
Vaslui,,66
Vaslui,,58
Vaslui,,36
Vaslui,,31
Vaslui,,15
Vaslui,,
Vaslui,T?rk?p, ?vet j? lenne, ha lehetne v?ltoztatni.,
