"County","CountyCode","Year","Variable","Value","Percentage"
"TOTAL","Bihor","2021","167334","161258","0.9999937987957261"
"TOTAL","Bihor","2022","167334","165283","0.9999939498076039"
"TOTAL","Bihor","2023","167334","169603","0.9999941039126435"
"TOTAL","Bihor","2024","167334","171451","0.99999416746378"
"TOTAL","Bihor","2008","167334","1","0.000005976036095258016"
"TOTAL","Bihor","2009","167334","1","0.000006287410090035713"
"TOTAL","Bihor","2010","167334","1","0.000006823516567498226"
"TOTAL","Bihor","2011","167334","1","0.000006921564827376174"
"TOTAL","Bihor","2012","167334","1","0.000006964224777318913"
"TOTAL","Bihor","2013","167334","1","0.000006853492882647641"
"TOTAL","Bihor","2014","167334","1","0.000006651855202415954"
"TOTAL","Bihor","2015","167334","1","0.000006513385006187715"
"TOTAL","Bihor","2016","167334","1","0.000006276203148143499"
"TOTAL","Bihor","2017","167334","1","0.000006224092216150275"
"TOTAL","Bihor","2018","167334","1","0.000006141713906682799"
"TOTAL","Bihor","2019","167334","1","0.000006053781797488892"
"TOTAL","Bihor","2020","167334","1","0.000006304613716317601"
"TOTAL","Bihor","2021","167334","1","0.000006201204273869986"
"TOTAL","Bihor","2022","167334","1","0.000006050192396118197"
"TOTAL","Bihor","2023","167334","1","0.000005896087356430273"
"TOTAL","Bihor","2024","167334","1","0.000005832536220049927"
"TOTAL","Bistrita-Nasaud","2008","60868","60868","0.999983571276019"
"TOTAL","Bistrita-Nasaud","2009","60868","56798","0.9999823940562333"
"TOTAL","Bistrita-Nasaud","2010","60868","51823","0.9999807039209633"
"TOTAL","Bistrita-Nasaud","2011","60868","54045","0.9999814972430893"
"TOTAL","Bistrita-Nasaud","2012","60868","56482","0.9999822955579555"
"TOTAL","Bistrita-Nasaud","2013","60868","56734","0.9999823741958227"
"TOTAL","Bistrita-Nasaud","2014","60868","57639","0.9999826509368495"
"TOTAL","Bistrita-Nasaud","2015","60868","60053","0.9999833483198455"
"TOTAL","Bistrita-Nasaud","2016","60868","64096","0.9999843986458025"
"TOTAL","Bistrita-Nasaud","2017","60868","66206","0.9999848958569335"
"TOTAL","Bistrita-Nasaud","2018","60868","66937","0.9999850608025337"
"TOTAL","Bistrita-Nasaud","2019","60868","65439","0.9999847188264058"
"TOTAL","Bistrita-Nasaud","2020","60868","62997","0.9999841264802057"
"TOTAL","Bistrita-Nasaud","2021","60868","64594","0.9999845189256135"
"TOTAL","Bistrita-Nasaud","2022","60868","65916","0.9999848294066781"
"TOTAL","Bistrita-Nasaud","2023","60868","69218","0.9999855530995825"
"TOTAL","Bistrita-Nasaud","2024","60868","69246","0.9999855589411816"
"TOTAL","Bistrita-Nasaud","2008","60868","1","0.000016428723981008396"
"TOTAL","Bistrita-Nasaud","2009","60868","1","0.00001760594376661561"
"TOTAL","Bistrita-Nasaud","2010","60868","1","0.000019296079036739735"
"TOTAL","Bistrita-Nasaud","2011","60868","1","0.000018502756910779706"
"TOTAL","Bistrita-Nasaud","2012","60868","1","0.000017704442044508967"
"TOTAL","Bistrita-Nasaud","2013","60868","1","0.00001762580417731559"
"TOTAL","Bistrita-Nasaud","2014","60868","1","0.00001734906315058987"
"TOTAL","Bistrita-Nasaud","2015","60868","1","0.000016651680154527592"
"TOTAL","Bistrita-Nasaud","2016","60868","1","0.000015601354197544347"
"TOTAL","Bistrita-Nasaud","2017","60868","1","0.000015104143066443125"
"TOTAL","Bistrita-Nasaud","2018","60868","1","0.00001493919746631211"
"TOTAL","Bistrita-Nasaud","2019","60868","1","0.000015281173594132028"
"TOTAL","Bistrita-Nasaud","2020","60868","1","0.000015873519794279185"
"TOTAL","Bistrita-Nasaud","2021","60868","1","0.000015481074386562427"
"TOTAL","Bistrita-Nasaud","2022","60868","1","0.00001517059332190482"
"TOTAL","Bistrita-Nasaud","2023","60868","1","0.000014446900417515422"
"TOTAL","Bistrita-Nasaud","2024","60868","1","0.000014441058818432568"
"TOTAL","Cluj","2008","199066","199066","0.9999949765656789"
"TOTAL","Cluj","2009","199066","187236","0.9999946591752699"
"TOTAL","Cluj","2010","199066","178649","0.9999944024629163"
"TOTAL","Cluj","2011","199066","178794","0.9999944070024329"
"TOTAL","Cluj","2012","199066","182962","0.9999945344140618"
"TOTAL","Cluj","2013","199066","185365","0.9999946052674169"
"TOTAL","Cluj","2014","199066","196237","0.9999949041470052"
"TOTAL","Cluj","2015","199066","201825","0.9999950452369863"
"TOTAL","Cluj","2016","199066","210713","0.9999952542308532"
"TOTAL","Cluj","2017","199066","225171","0.9999955589504912"
"TOTAL","Cluj","2018","199066","231119","0.9999956732433368"
"TOTAL","Cluj","2019","199066","239293","0.9999958210402267"
"TOTAL","Cluj","2020","199066","233881","0.9999957243396242"
"TOTAL","Cluj","2021","199066","241685","0.9999958623999735"
"TOTAL","Cluj","2022","199066","248860","0.9999959816925914"
"TOTAL","Cluj","2023","199066","255126","0.9999960803834953"
"TOTAL","Cluj","2024","199066","261239","0.9999961721022814"
"TOTAL","Cluj","2008","199066","1","0.000005023434321107968"
"TOTAL","Cluj","2009","199066","1","0.00000534082473015483"
"TOTAL","Cluj","2010","199066","1","0.00000559753708368318"
"TOTAL","Cluj","2011","199066","1","0.000005592997567046058"
"TOTAL","Cluj","2012","199066","1","0.0000054655859381404985"
"TOTAL","Cluj","2013","199066","1","0.000005394732583105856"
"TOTAL","Cluj","2014","199066","1","0.000005095852994832805"
"TOTAL","Cluj","2015","199066","1","0.000004954763013685056"
"TOTAL","Cluj","2016","199066","1","0.000004745769146805622"
"TOTAL","Cluj","2017","199066","1","0.0000044410495088199244"
"TOTAL","Cluj","2018","199066","1","0.000004326756663205261"
"TOTAL","Cluj","2019","199066","1","0.000004178959773333222"
"TOTAL","Cluj","2020","199066","1","0.000004275660375745034"
"TOTAL","Cluj","2021","199066","1","0.00000413760002648064"
"TOTAL","Cluj","2022","199066","1","0.000004018307408553369"
"TOTAL","Cluj","2023","199066","1","0.000003919616504721178"
"TOTAL","Cluj","2024","199066","1","0.00000382789771857296"
"TOTAL","Maramures","2008","94097","94097","0.9999893727815682"
"TOTAL","Maramures","2009","94097","91900","0.9999891187255852"
"TOTAL","Maramures","2010","94097","86256","0.9999884067380038"
"TOTAL","Maramures","2011","94097","86480","0.9999884367664573"
"TOTAL","Maramures","2012","94097","88152","0.9999886560865767"
"TOTAL","Maramures","2013","94097","89596","0.9999888389120172"
"TOTAL","Maramures","2014","94097","91559","0.9999890782000874"
"TOTAL","Maramures","2015","94097","94729","0.9999894436820437"
"TOTAL","Maramures","2016","94097","95829","0.9999895648544297"
"TOTAL","Maramures","2017","94097","101131","0.9999901119329193"
"TOTAL","Maramures","2018","94097","102377","0.9999902322764657"
"TOTAL","Maramures","2019","94097","106403","0.999990601857073"
"TOTAL","Maramures","2020","94097","103087","0.9999902995498992"
"TOTAL","Maramures","2021","94097","105603","0.9999905306617174"
"TOTAL","Maramures","2022","94097","107324","0.9999906825064058"
"TOTAL","Maramures","2023","94097","110145","0.9999909211410309"
"TOTAL","Maramures","2024","94097","109366","0.9999908564740735"
"TOTAL","Maramures","2008","94097","1","0.000010627218431847649"
"TOTAL","Maramures","2009","94097","1","0.000010881274414859469"
"TOTAL","Maramures","2010","94097","1","0.00001159326199612785"
"TOTAL","Maramures","2011","94097","1","0.000011563233542627861"
"TOTAL","Maramures","2012","94097","1","0.000011343913423252754"
"TOTAL","Maramures","2013","94097","1","0.00001116108798285657"
"TOTAL","Maramures","2014","94097","1","0.000010921799912625601"
"TOTAL","Maramures","2015","94097","1","0.000010556317956296844"
"TOTAL","Maramures","2016","94097","1","0.000010435145570280706"
"TOTAL","Maramures","2017","94097","1","0.000009888067080647075"
"TOTAL","Maramures","2018","94097","1","0.000009767723534353084"
"TOTAL","Maramures","2019","94097","1","0.000009398142926957633"
"TOTAL","Maramures","2020","94097","1","0.000009700450100884681"
"TOTAL","Maramures","2021","94097","1","0.000009469338282640808"
"TOTAL","Maramures","2022","94097","1","0.000009317493594223155"
"TOTAL","Maramures","2023","94097","1","0.000009078858969004776"
"TOTAL","Maramures","2024","94097","1","0.000009143525926467765"
"TOTAL","Satu Mare","2008","77060","77060","0.9999870232672817"
"TOTAL","Satu Mare","2009","77060","75732","0.9999867957165305"
"TOTAL","Satu Mare","2010","77060","71056","0.9999859267911676"
"TOTAL","Satu Mare","2011","77060","66663","0.999984999399976"
"TOTAL","Satu Mare","2012","77060","70044","0.9999857234634878"
"TOTAL","Satu Mare","2013","77060","71098","0.9999859351045725"
"TOTAL","Satu Mare","2014","77060","75327","0.9999867247238743"
"TOTAL","Satu Mare","2015","77060","74202","0.999986523455925"
"TOTAL","Satu Mare","2016","77060","74764","0.9999866247575737"
"TOTAL","Satu Mare","2017","77060","80159","0.9999875249500998"
"TOTAL","Satu Mare","2018","77060","79559","0.9999874308697838"
"TOTAL","Satu Mare","2019","77060","79666","0.9999874477512647"
"TOTAL","Satu Mare","2020","77060","77986","0.9999871773500711"
"TOTAL","Satu Mare","2021","77060","78813","0.9999873118989012"
"TOTAL","Satu Mare","2022","77060","80011","0.9999875018747187"
"TOTAL","Satu Mare","2023","77060","80802","0.9999876242218729"
"TOTAL","Satu Mare","2024","77060","79826","0.9999874729101682"
"TOTAL","Satu Mare","2008","77060","1","0.000012976732718236202"
"TOTAL","Satu Mare","2009","77060","1","0.000013204283469557524"
"TOTAL","Satu Mare","2010","77060","1","0.000014073208832345863"
"TOTAL","Satu Mare","2011","77060","1","0.00001500060002400096"
"TOTAL","Satu Mare","2012","77060","1","0.00001427653651224213"
"TOTAL","Satu Mare","2013","77060","1","0.000014064895427502497"
"TOTAL","Satu Mare","2014","77060","1","0.000013275276125743416"
"TOTAL","Satu Mare","2015","77060","1","0.000013476544075037398"
"TOTAL","Satu Mare","2016","77060","1","0.000013375242426268977"
"TOTAL","Satu Mare","2017","77060","1","0.0000124750499001996"
"TOTAL","Satu Mare","2018","77060","1","0.000012569130216189039"
"TOTAL","Satu Mare","2019","77060","1","0.00001255224873536094"
"TOTAL","Satu Mare","2020","77060","1","0.000012822649928834292"
"TOTAL","Satu Mare","2021","77060","1","0.000012688101098789555"
"TOTAL","Satu Mare","2022","77060","1","0.000012498125281207818"
"TOTAL","Satu Mare","2023","77060","1","0.000012375778127049739"
"TOTAL","Satu Mare","2024","77060","1","0.000012527089831761183"
"TOTAL","Salaj","2008","47650","47650","0.9999790140815513"
"TOTAL","Salaj","2009","47650","43903","0.9999772230320699"
"TOTAL","Salaj","2010","47650","39393","0.9999746154236686"
"TOTAL","Salaj","2011","47650","38738","0.9999741862206045"
"TOTAL","Salaj","2012","47650","41702","0.9999760209097667"
"TOTAL","Salaj","2013","47650","42555","0.9999765015508977"
"TOTAL","Salaj","2014","47650","43715","0.9999771250800622"
"TOTAL","Salaj","2015","47650","44087","0.9999773180910906"
"TOTAL","Salaj","2016","47650","44839","0.9999776984834968"
"TOTAL","Salaj","2017","47650","48527","0.9999793933399275"
"TOTAL","Salaj","2018","47650","48639","0.9999794407894737"
"TOTAL","Salaj","2019","47650","48766","0.9999794943301823"
"TOTAL","Salaj","2020","47650","47353","0.9999788824597711"
"TOTAL","Salaj","2021","47650","48707","0.9999794694916646"
"TOTAL","Salaj","2022","47650","49529","0.9999798102160307"
"TOTAL","Salaj","2023","47650","51700","0.9999806580143518"
"TOTAL","Salaj","2024","47650","52708","0.9999810279079474"
"TOTAL","Salaj","2008","47650","1","0.00002098591844872091"
"TOTAL","Salaj","2009","47650","1","0.000022776967930029154"
"TOTAL","Salaj","2010","47650","1","0.00002538457633142103"
"TOTAL","Salaj","2011","47650","1","0.000025813779395441288"
"TOTAL","Salaj","2012","47650","1","0.000023979090233316548"
"TOTAL","Salaj","2013","47650","1","0.000023498449102359245"
"TOTAL","Salaj","2014","47650","1","0.000022874919937780217"
"TOTAL","Salaj","2015","47650","1","0.00002268190890945382"
"TOTAL","Salaj","2016","47650","1","0.000022301516503122213"
"TOTAL","Salaj","2017","47650","1","0.000020606660072535444"
"TOTAL","Salaj","2018","47650","1","0.00002055921052631579"
"TOTAL","Salaj","2019","47650","1","0.000020505669817704595"
"TOTAL","Salaj","2020","47650","1","0.000021117540228914135"
"TOTAL","Salaj","2021","47650","1","0.000020530508335386383"
"TOTAL","Salaj","2022","47650","1","0.00002018978396931153"
"TOTAL","Salaj","2023","47650","1","0.00001934198564824665"
"TOTAL","Salaj","2024","47650","1","0.000018972092052590638"
"TOTAL","Alba","2008","91854","91854","0.9999891132763595"
"TOTAL","Alba","2009","91854","83830","0.9999880712385633"
"TOTAL","Alba","2010","91854","74577","0.9999865912199308"
"TOTAL","Alba","2011","91854","73983","0.9999864835640139"
"TOTAL","Alba","2012","91854","77467","0.9999870914442093"
"TOTAL","Alba","2013","91854","77320","0.9999870669029113"
"TOTAL","Alba","2014","91854","79006","0.9999873428936676"
"TOTAL","Alba","2015","91854","80782","0.9999876211579168"
"TOTAL","Alba","2016","91854","84208","0.9999881247847617"
"TOTAL","Alba","2017","91854","89330","0.9999888056777603"
"TOTAL","Alba","2018","91854","91251","0.9999890413360804"
"TOTAL","Alba","2019","91854","93651","0.9999893221714432"
"TOTAL","Alba","2020","91854","89830","0.9999888679854393"
"TOTAL","Alba","2021","91854","89626","0.9999888426478628"
"TOTAL","Alba","2022","91854","93439","0.9999892979452055"
"TOTAL","Alba","2023","91854","94644","0.9999894342014898"
"TOTAL","Alba","2024","91854","96718","0.9999896607698591"
"TOTAL","Alba","2008","91854","1","0.000010886723640520385"
"TOTAL","Alba","2009","91854","1","0.000011928761436700028"
"TOTAL","Alba","2010","91854","1","0.000013408780069189305"
"TOTAL","Alba","2011","91854","1","0.00001351643598615917"
"TOTAL","Alba","2012","91854","1","0.000012908555790778127"
"TOTAL","Alba","2013","91854","1","0.000012933097088759846"
"TOTAL","Alba","2014","91854","1","0.000012657106332350298"
"TOTAL","Alba","2015","91854","1","0.000012378842083111546"
"TOTAL","Alba","2016","91854","1","0.000011875215238276194"
"TOTAL","Alba","2017","91854","1","0.000011194322239759993"
"TOTAL","Alba","2018","91854","1","0.00001095866391969491"
"TOTAL","Alba","2019","91854","1","0.000010677828556784692"
"TOTAL","Alba","2020","91854","1","0.000011132014560675046"
"TOTAL","Alba","2021","91854","1","0.000011157352137190802"
"TOTAL","Alba","2022","91854","1","0.000010702054794520548"
"TOTAL","Alba","2023","91854","1","0.00001056579851022241"
"TOTAL","Alba","2024","91854","1","0.000010339230140923707"
"TOTAL","Brasov","2008","169429","169429","0.9999940978575222"
"TOTAL","Brasov","2009","169429","150855","0.9999933711619028"
"TOTAL","Brasov","2010","169429","145465","0.9999931255413637"
"TOTAL","Brasov","2011","169429","145274","0.9999931165031836"
"TOTAL","Brasov","2012","169429","151324","0.9999933917065917"
"TOTAL","Brasov","2013","169429","154690","0.9999935354998029"
"TOTAL","Brasov","2014","169429","157160","0.9999936370982623"
"TOTAL","Brasov","2015","169429","160470","0.9999937683444361"
"TOTAL","Brasov","2016","169429","167718","0.9999940376463012"
"TOTAL","Brasov","2017","169429","172326","0.9999941970788094"
"TOTAL","Brasov","2018","169429","178744","0.9999944054379144"
"TOTAL","Brasov","2019","169429","179723","0.9999944359128441"
"TOTAL","Brasov","2020","169429","176508","0.9999943345665093"
"TOTAL","Brasov","2021","169429","178101","0.9999943852399187"
"TOTAL","Brasov","2022","169429","181482","0.9999944898420238"
"TOTAL","Brasov","2023","169429","188254","0.9999946880560941"
"TOTAL","Brasov","2024","169429","186652","0.9999946424648948"
"TOTAL","Brasov","2008","169429","1","0.000005902142477719412"
"TOTAL","Brasov","2009","169429","1","0.000006628838097258312"
"TOTAL","Brasov","2010","169429","1","0.000006874458636382385"
"TOTAL","Brasov","2011","169429","1","0.000006883496816382722"
"TOTAL","Brasov","2012","169429","1","0.0000066082934082273256"
"TOTAL","Brasov","2013","169429","1","0.000006464500197167256"
"TOTAL","Brasov","2014","169429","1","0.000006362901737708465"
"TOTAL","Brasov","2015","169429","1","0.00000623165556393367"
"TOTAL","Brasov","2016","169429","1","0.000005962353698746117"
"TOTAL","Brasov","2017","169429","1","0.000005802921190527312"
"TOTAL","Brasov","2018","169429","1","0.000005594562085652746"
"TOTAL","Brasov","2019","169429","1","0.00000556408715586121"
"TOTAL","Brasov","2020","169429","1","0.000005665433490643537"
"TOTAL","Brasov","2021","169429","1","0.000005614760081301726"
"TOTAL","Brasov","2022","169429","1","0.0000055101579762291785"
"TOTAL","Brasov","2023","169429","1","0.000005311943905872354"
"TOTAL","Brasov","2024","169429","1","0.0000053575351052487775"
"TOTAL","Covasna","2008","50998","50998","0.9999803917723877"
"TOTAL","Covasna","2009","50998","48089","0.9999792056560616"
"TOTAL","Covasna","2010","50998","40858","0.9999755255879977"
"TOTAL","Covasna","2011","50998","41964","0.9999761706183724"
"TOTAL","Covasna","2012","50998","44533","0.9999775452463286"
"TOTAL","Covasna","2013","50998","44666","0.9999776121073723"
"TOTAL","Covasna","2014","50998","45355","0.9999779522003704"
"TOTAL","Covasna","2015","50998","47500","0.999978947811625"
"TOTAL","Covasna","2016","50998","47437","0.9999789198532821"
"TOTAL","Covasna","2017","50998","49121","0.9999796425226986"
"TOTAL","Covasna","2018","50998","50570","0.9999802258211228"
"TOTAL","Covasna","2019","50998","50783","0.9999803087586642"
"TOTAL","Covasna","2020","50998","48381","0.9999793311562151"
"TOTAL","Covasna","2021","50998","50234","0.9999800935602667"
"TOTAL","Covasna","2022","50998","50601","0.9999802379352595"
"TOTAL","Covasna","2023","50998","51735","0.9999806710994279"
"TOTAL","Covasna","2024","50998","53051","0.9999811505692529"
"TOTAL","Covasna","2008","50998","1","0.000019608227612306125"
"TOTAL","Covasna","2009","50998","1","0.00002079434393844874"
"TOTAL","Covasna","2010","50998","1","0.000024474412002251648"
"TOTAL","Covasna","2011","50998","1","0.000023829381627546765"
"TOTAL","Covasna","2012","50998","1","0.000022454753671352224"
"TOTAL","Covasna","2013","50998","1","0.000022387892627666956"
"TOTAL","Covasna","2014","50998","1","0.000022047799629596967"
"TOTAL","Covasna","2015","50998","1","0.00002105218837498158"
"TOTAL","Covasna","2016","50998","1","0.000021080146717821155"
"TOTAL","Covasna","2017","50998","1","0.00002035747730141281"
"TOTAL","Covasna","2018","50998","1","0.000019774178877222124"
"TOTAL","Covasna","2019","50998","1","0.000019691241335853813"
"TOTAL","Covasna","2020","50998","1","0.000020668843784878675"
"TOTAL","Covasna","2021","50998","1","0.000019906439733253708"
"TOTAL","Covasna","2022","50998","1","0.00001976206474052409"
"TOTAL","Covasna","2023","50998","1","0.000019328900572135455"
"TOTAL","Covasna","2024","50998","1","0.000018849430747191434"
"TOTAL","Harghita","2008","67335","67335","0.9999851491030058"
"TOTAL","Harghita","2009","67335","62983","0.9999841229518608"
"TOTAL","Harghita","2010","67335","59403","0.9999831661167599"
"TOTAL","Harghita","2011","67335","59506","0.9999831952543399"
"TOTAL","Harghita","2012","67335","62478","0.999983994622193"
"TOTAL","Harghita","2013","67335","61050","0.9999836202519206"
"TOTAL","Harghita","2014","67335","59700","0.9999832498618113"
"TOTAL","Harghita","2015","67335","59423","0.9999831717824448"
"TOTAL","Harghita","2016","67335","62014","0.9999838748689833"
"TOTAL","Harghita","2017","67335","65504","0.9999847339897717"
"TOTAL","Harghita","2018","67335","66886","0.9999850494116943"
"TOTAL","Harghita","2019","67335","68084","0.9999853124770507"
"TOTAL","Harghita","2020","67335","65333","0.9999846940337344"
"TOTAL","Harghita","2021","67335","65933","0.9999848333181667"
"TOTAL","Harghita","2022","67335","69247","0.9999855591497228"
"TOTAL","Harghita","2023","67335","70048","0.9999857242787192"
"TOTAL","Harghita","2024","67335","70914","0.9999858986110132"
"TOTAL","Harghita","2008","67335","1","0.000014850896994178448"
"TOTAL","Harghita","2009","67335","1","0.00001587704813920996"
"TOTAL","Harghita","2010","67335","1","0.000016833883240185847"
"TOTAL","Harghita","2011","67335","1","0.000016804745660174435"
"TOTAL","Harghita","2012","67335","1","0.000016005377806943133"
"TOTAL","Harghita","2013","67335","1","0.000016379748079474536"
"TOTAL","Harghita","2014","67335","1","0.000016750138188640056"
"TOTAL","Harghita","2015","67335","1","0.000016828217555196553"
"TOTAL","Harghita","2016","67335","1","0.00001612513101668951"
"TOTAL","Harghita","2017","67335","1","0.000015266010228226854"
"TOTAL","Harghita","2018","67335","1","0.000014950588305649827"
"TOTAL","Harghita","2019","67335","1","0.000014687522949254608"
"TOTAL","Harghita","2020","67335","1","0.00001530596626565035"
"TOTAL","Harghita","2021","67335","1","0.0000151666818333485"
"TOTAL","Harghita","2022","67335","1","0.000014440850277264325"
"TOTAL","Harghita","2023","67335","1","0.000014275721280817713"
"TOTAL","Harghita","2024","67335","1","0.0000141013889868152"
"TOTAL","Mures","2008","130740","130740","0.9999923512899549"
"TOTAL","Mures","2009","130740","124747","0.9999919838394202"
"TOTAL","Mures","2010","130740","114826","0.9999912912468322"
"TOTAL","Mures","2011","130740","114551","0.9999912703401076"
"TOTAL","Mures","2012","130740","115815","0.9999913656144229"
"TOTAL","Mures","2013","130740","117940","0.999991521184321"
"TOTAL","Mures","2014","130740","118991","0.9999915960736856"
"TOTAL","Mures","2015","130740","122045","0.9999918063680907"
"TOTAL","Mures","2016","130740","123128","0.9999918784364366"
"TOTAL","Mures","2017","130740","129099","0.9999922540666151"
"TOTAL","Mures","2018","130740","133237","0.999992494633663"
"TOTAL","Mures","2019","130740","133132","0.9999924887142932"
"TOTAL","Mures","2020","130740","131717","0.9999924080232011"
"TOTAL","Mures","2021","130740","132487","0.9999924521466095"
"TOTAL","Mures","2022","130740","135109","0.9999925986233439"
"TOTAL","Mures","2023","130740","137447","0.9999927245212735"
"TOTAL","Mures","2024","130740","138302","0.999992769498854"
"TOTAL","Mures","2008","130740","1","0.000007648710045050902"
"TOTAL","Mures","2009","130740","1","0.000008016160579728733"
"TOTAL","Mures","2010","130740","1","0.000008708753167808965"
"TOTAL","Mures","2011","130740","1","0.00000872965989245059"
"TOTAL","Mures","2012","130740","1","0.000008634385577122331"
"TOTAL","Mures","2013","130740","1","0.000008478815679025953"
"TOTAL","Mures","2014","130740","1","0.000008403926314374075"
"TOTAL","Mures","2015","130740","1","0.000008193631909280108"
"TOTAL","Mures","2016","130740","1","0.000008121563563417228"
"TOTAL","Mures","2017","130740","1","0.00000774593338497289"
"TOTAL","Mures","2018","130740","1","0.000007505366336930905"
"TOTAL","Mures","2019","130740","1","0.000007511285706774429"
"TOTAL","Mures","2020","130740","1","0.000007591976798918902"
"TOTAL","Mures","2021","130740","1","0.000007547853390495743"
"TOTAL","Mures","2022","130740","1","0.000007401376656058027"
"TOTAL","Mures","2023","130740","1","0.000007275478726500204"
"TOTAL","Mures","2024","130740","1","0.000007230501146034431"
"TOTAL","Sibiu","2008","122491","122491","0.9999918362015479"
"TOTAL","Sibiu","2009","122491","115929","0.9999913741050634"
"TOTAL","Sibiu","2010","122491","109062","0.9999908309875943"
"TOTAL","Sibiu","2011","122491","111167","0.9999910046056419"
"TOTAL","Sibiu","2012","122491","116234","0.9999913967393642"
"TOTAL","Sibiu","2013","122491","118141","0.99999153560969"
"TOTAL","Sibiu","2014","122491","119662","0.999991643197981"
"TOTAL","Sibiu","2015","122491","119905","0.9999916601337715"
"TOTAL","Sibiu","2016","122491","126764","0.9999921113872126"
"TOTAL","Sibiu","2017","122491","132369","0.9999924454181461"
"TOTAL","Sibiu","2018","122491","132797","0.9999924697661109"
"TOTAL","Sibiu","2019","122491","133728","0.9999925221904"
"TOTAL","Sibiu","2020","122491","128761","0.999992233733555"
"TOTAL","Sibiu","2021","122491","128869","0.9999922402421044"
"TOTAL","Sibiu","2022","122491","133410","0.9999925043662067"
"TOTAL","Sibiu","2023","122491","137781","0.9999927421579016"
"TOTAL","Sibiu","2024","122491","138452","0.9999927773323799"
"TOTAL","Sibiu","2008","122491","1","0.000008163798452143813"
"TOTAL","Sibiu","2009","122491","1","0.000008625894936599672"
"TOTAL","Sibiu","2010","122491","1","0.000009169012405673785"
"TOTAL","Sibiu","2011","122491","1","0.00000899539435808866"
"TOTAL","Sibiu","2012","122491","1","0.000008603260635780962"
"TOTAL","Sibiu","2013","122491","1","0.000008464390309965973"
"TOTAL","Sibiu","2014","122491","1","0.000008356802019003367"
"TOTAL","Sibiu","2015","122491","1","0.000008339866228545694"
"TOTAL","Sibiu","2016","122491","1","0.000007888612787441329"
"TOTAL","Sibiu","2017","122491","1","0.000007554581853894387"
"TOTAL","Sibiu","2018","122491","1","0.000007530233889064595"
"TOTAL","Sibiu","2019","122491","1","0.000007477809600011964"
"TOTAL","Sibiu","2020","122491","1","0.000007766266445069197"
