?"Tara","Country","Orszag","Year","Value"
"Grecia","Greece","G?r?gorsz?g","","1249"
"Grecia","Greece","G?r?gorsz?g","","1234"
"Grecia","Greece","G?r?gorsz?g","","1271"
"Grecia","Greece","G?r?gorsz?g","","1193"
"Grecia","Greece","G?r?gorsz?g","","4044"
"Belgia","Belgium","Belgium","","1550"
"Belgia","Belgium","Belgium","","1386"
"Belgia","Belgium","Belgium","","1501"
"Belgia","Belgium","Belgium","","1952"
"Belgia","Belgium","Belgium","","1584"
"Belgia","Belgium","Belgium","","2276"
"Belgia","Belgium","Belgium","","2518"
"Belgia","Belgium","Belgium","","2202"
"Belgia","Belgium","Belgium","","2504"
"Belgia","Belgium","Belgium","","3017"
"Belgia","Belgium","Belgium","","3979"
"Ungaria","Hungary","Magyarorsz?g","","767"
"Ungaria","Hungary","Magyarorsz?g","","881"
"Ungaria","Hungary","Magyarorsz?g","","950"
"Ungaria","Hungary","Magyarorsz?g","","975"
"Ungaria","Hungary","Magyarorsz?g","","959"
"Ungaria","Hungary","Magyarorsz?g","","1222"
"Ungaria","Hungary","Magyarorsz?g","","1611"
"Ungaria","Hungary","Magyarorsz?g","","2221"
"Ungaria","Hungary","Magyarorsz?g","","2326"
"Ungaria","Hungary","Magyarorsz?g","","2626"
"Ungaria","Hungary","Magyarorsz?g","","3167"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1245"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1501"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1254"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1701"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1452"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","1713"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","2853"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","2755"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","3040"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","2857"
"Marea Britanie","United Kingdom","Egyes?lt Kir?lys?g","","3124"
"Spania","Spain","Spanyolorsz?g","","1178"
"Spania","Spain","Spanyolorsz?g","","1575"
"Spania","Spain","Spanyolorsz?g","","1467"
"Spania","Spain","Spanyolorsz?g","","1740"
"Spania","Spain","Spanyolorsz?g","","559"
"Spania","Spain","Spanyolorsz?g","","1634"
"Spania","Spain","Spanyolorsz?g","","1425"
"Spania","Spain","Spanyolorsz?g","","1756"
"Spania","Spain","Spanyolorsz?g","","1823"
"Spania","Spain","Spanyolorsz?g","","1917"
"Spania","Spain","Spanyolorsz?g","","2124"
"Polonia","Poland","Lengyelorsz?g","","248"
"Polonia","Poland","Lengyelorsz?g","","312"
"Polonia","Poland","Lengyelorsz?g","","458"
"Polonia","Poland","Lengyelorsz?g","","516"
"Polonia","Poland","Lengyelorsz?g","","692"
"Polonia","Poland","Lengyelorsz?g","","786"
"Polonia","Poland","Lengyelorsz?g","","926"
"Polonia","Poland","Lengyelorsz?g","","933"
"Polonia","Poland","Lengyelorsz?g","","1006"
"Polonia","Poland","Lengyelorsz?g","","1066"
"Polonia","Poland","Lengyelorsz?g","","1546"
"Malta","Malta","M?lta","","59"
"Malta","Malta","M?lta","","80"
"Malta","Malta","M?lta","","117"
"Malta","Malta","M?lta","","136"
"Malta","Malta","M?lta","","107"
"Malta","Malta","M?lta","","145"
"Malta","Malta","M?lta","","177"
"Malta","Malta","M?lta","","224"
"Malta","Malta","M?lta","","990"
"Malta","Malta","M?lta","","1221"
"Malta","Malta","M?lta","","1169"
"Turcia","Turkey","T?r?korsz?g","","368"
"Turcia","Turkey","T?r?korsz?g","","581"
"Turcia","Turkey","T?r?korsz?g","","333"
"Turcia","Turkey","T?r?korsz?g","","455"
"Turcia","Turkey","T?r?korsz?g","","519"
"Turcia","Turkey","T?r?korsz?g","","577"
"Turcia","Turkey","T?r?korsz?g","","522"
"Turcia","Turkey","T?r?korsz?g","","1029"
"Turcia","Turkey","T?r?korsz?g","","875"
"Turcia","Turkey","T?r?korsz?g","","871"
"Turcia","Turkey","T?r?korsz?g","","1056"
"Cehia","Czech Republic","Csehorsz?g","","1072"
"Cehia","Czech Republic","Csehorsz?g","","852"
"Cehia","Czech Republic","Csehorsz?g","","670"
"Cehia","Czech Republic","Csehorsz?g","","1196"
"Cehia","Czech Republic","Csehorsz?g","","1431"
"Cehia","Czech Republic","Csehorsz?g","","1638"
"Cehia","Czech Republic","Csehorsz?g","","2035"
"Cehia","Czech Republic","Csehorsz?g","","1799"
"Cehia","Czech Republic","Csehorsz?g","","972"
"Cehia","Czech Republic","Csehorsz?g","","962"
"Cehia","Czech Republic","Csehorsz?g","","914"
"Danemarca","Denmark","D?nia","","448"
"Danemarca","Denmark","D?nia","","459"
"Danemarca","Denmark","D?nia","","581"
"Danemarca","Denmark","D?nia","","731"
"Danemarca","Denmark","D?nia","","641"
"Danemarca","Denmark","D?nia","","680"
"Danemarca","Denmark","D?nia","","635"
"Danemarca","Denmark","D?nia","","752"
"Danemarca","Denmark","D?nia","","912"
"Suedia","Sweden","Sv?dorsz?g","","479"
"Suedia","Sweden","Sv?dorsz?g","","644"
"Suedia","Sweden","Sv?dorsz?g","","534"
"Suedia","Sweden","Sv?dorsz?g","","533"
"Suedia","Sweden","Sv?dorsz?g","","626"
"Suedia","Sweden","Sv?dorsz?g","","683"
"Suedia","Sweden","Sv?dorsz?g","","810"
"Suedia","Sweden","Sv?dorsz?g","","828"
"Suedia","Sweden","Sv?dorsz?g","","888"
"Suedia","Sweden","Sv?dorsz?g","","867"
"Statele Unite ale Americii","United States of America","Amerikai Egyes?lt ?llamok","","1079"
"Statele Unite ale Americii","United States of America","Amerikai Egyes?lt ?llamok","","1142"
"Statele Unite ale Americii","United States of America","Amerikai Egyes?lt ?llamok","","784"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","38"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","49"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","60"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","31"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","23"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","262"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","176"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","145"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","344"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","469"
"Emiratele Arabe unite","United Arab Emirates","Egyes?lt Arab Em?rs?gek","","668"
"Bulgaria","Bulgaria","Bulg?ria","","52"
"Bulgaria","Bulgaria","Bulg?ria","","159"
"Bulgaria","Bulgaria","Bulg?ria","","174"
"Bulgaria","Bulgaria","Bulg?ria","","284"
"Bulgaria","Bulgaria","Bulg?ria","","344"
"Bulgaria","Bulgaria","Bulg?ria","","417"
"Bulgaria","Bulgaria","Bulg?ria","","417"
"Bulgaria","Bulgaria","Bulg?ria","","400"
"Bulgaria","Bulgaria","Bulg?ria","","621"
"Japonia","Japan","Jap?n","","211"
"Japonia","Japan","Jap?n","","239"
"Japonia","Japan","Jap?n","","250"
"Japonia","Japan","Jap?n","","285"
"Japonia","Japan","Jap?n","","315"
"Japonia","Japan","Jap?n","","423"
"Japonia","Japan","Jap?n","","422"
"Japonia","Japan","Jap?n","","548"
"Japonia","Japan","Jap?n","","601"
"Japonia","Japan","Jap?n","","592"
"Japonia","Japan","Jap?n","","555"
"Israel","Israel","Izrael","","172"
"Israel","Israel","Izrael","","100"
"Israel","Israel","Izrael","","75"
"Israel","Israel","Izrael","","159"
"Israel","Israel","Izrael","","224"
"Israel","Israel","Izrael","","313"
"Israel","Israel","Izrael","","331"
"Israel","Israel","Izrael","","338"
"Israel","Israel","Izrael","","491"
"Israel","Israel","Izrael","","533"
"Israel","Israel","Izrael","","526"
"Norvegia","Norway","Norv?gia","","249"
"Norvegia","Norway","Norv?gia","","278"
"Norvegia","Norway","Norv?gia","","175"
"Norvegia","Norway","Norv?gia","","141"
"Norvegia","Norway","Norv?gia","","339"
"Norvegia","Norway","Norv?gia","","219"
"Norvegia","Norway","Norv?gia","","361"
"Norvegia","Norway","Norv?gia","","427"
"Norvegia","Norway","Norv?gia","","327"
"Norvegia","Norway","Norv?gia","","428"
"Norvegia","Norway","Norv?gia","","451"
"Irlanda","Ireland","?rorsz?g","","331"
"Irlanda","Ireland","?rorsz?g","","349"
"Irlanda","Ireland","?rorsz?g","","460"
"Irlanda","Ireland","?rorsz?g","","368"
"Irlanda","Ireland","?rorsz?g","","288"
"Irlanda","Ireland","?rorsz?g","","401"
"Irlanda","Ireland","?rorsz?g","","678"
"Irlanda","Ireland","?rorsz?g","","671"
"Irlanda","Ireland","?rorsz?g","","721"
"Irlanda","Ireland","?rorsz?g","","661"
"Irlanda","Ireland","?rorsz?g","","361"
"Portugalia","Portugal","Portug?lia","","244"
"Portugalia","Portugal","Portug?lia","","152"
"Portugalia","Portugal","Portug?lia","","266"
"Portugalia","Portugal","Portug?lia","","265"
"Portugalia","Portugal","Portug?lia","","268"
"Portugalia","Portugal","Portug?lia","","263"
"Portugalia","Portugal","Portug?lia","","242"
"Portugalia","Portugal","Portug?lia","","257"
"Portugalia","Portugal","Portug?lia","","319"
"Portugalia","Portugal","Portug?lia","","340"
"Portugalia","Portugal","Portug?lia","","332"
"Liban","Lebanon","Libanon","","188"
"Liban","Lebanon","Libanon","","176"
"Liban","Lebanon","Libanon","","159"
"Liban","Lebanon","Libanon","","216"
"Liban","Lebanon","Libanon","","271"
"Liban","Lebanon","Libanon","","55"
"Liban","Lebanon","Libanon","","225"
"Liban","Lebanon","Libanon","","275"
"Liban","Lebanon","Libanon","","286"
"Liban","Lebanon","Libanon","","268"
"Liban","Lebanon","Libanon","","323"
"China","China","K?na","","125"
"China","China","K?na","","90"
"China","China","K?na","","223"
"China","China","K?na","","56"
"China","China","K?na","","75"
"China","China","K?na","","37"
"China","China","K?na","","91"
"China","China","K?na","","227"
"China","China","K?na","","248"
"China","China","K?na","","307"
"China","China","K?na","","320"
"Finlanda","Finland","Finnorsz?g","","115"
"Finlanda","Finland","Finnorsz?g","","104"
"Finlanda","Finland","Finnorsz?g","","104"
"Finlanda","Finland","Finnorsz?g","","79"
"Finlanda","Finland","Finnorsz?g","","69"
"Finlanda","Finland","Finnorsz?g","","86"
"Finlanda","Finland","Finnorsz?g","","88"
"Finlanda","Finland","Finnorsz?g","","85"
"Finlanda","Finland","Finnorsz?g","","92"
"Finlanda","Finland","Finnorsz?g","","105"
"Finlanda","Finland","Finnorsz?g","","218"
"Liechtenstein","Liechtenstein","Liechtenstein","","14"
"Liechtenstein","Liechtenstein","Liechtenstein","","41"
"Liechtenstein","Liechtenstein","Liechtenstein","","61"
"Liechtenstein","Liechtenstein","Liechtenstein","","71"
"Liechtenstein","Liechtenstein","Liechtenstein","","162"
"Republica Serbia","Republic of Serbia","Szerb K?zt?rsas?g","","155"
"Republica Serbia","Republic of Serbia","Szerb K?zt?rsas?g","","123"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","18"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","18"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","33"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","22"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","36"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","38"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","33"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","26"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","68"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","56"
"Moldova (Republica)","Moldova (Republic)","Moldova (K?zt?rsas?g)","","102"
"Ate ??ri","Other countries","M?s orsz?gok","","1867"
"Ate ??ri","Other countries","M?s orsz?gok","","1860"
"Ate ??ri","Other countries","M?s orsz?gok","","1961"
"Ate ??ri","Other countries","M?s orsz?gok","","1551"
"Ate ??ri","Other countries","M?s orsz?gok","","1782"
"Ate ??ri","Other countries","M?s orsz?gok","","1236"
"Ate ??ri","Other countries","M?s orsz?gok","","1403"
"Ate ??ri","Other countries","M?s orsz?gok","","1393"
"Ate ??ri","Other countries","M?s orsz?gok","","1058"
"Ate ??ri","Other countries","M?s orsz?gok","","2072"
"Ate ??ri","Other countries","M?s orsz?gok","","1765"
